Year,Country,sex,age,suicides_no,population,suicides_by_pop,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,crime_index,saftey_index
2013,Canada,male,75+,231.0,991048.0,0.023308659116410103,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,34.98,65.02
2013,Canada,male,75+,231.0,991048.0,0.023308659116410103,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,34.98,65.02
2013,Hungary,female,15-24,12.0,576334.0,0.0020821259894436214,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,33.72,66.28
2013,Hungary,female,15-24,12.0,576334.0,0.0020821259894436214,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,33.72,66.28
2013,Hungary,female,25-34,31.0,642913.0,0.004821803261094425,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,33.72,66.28
2013,Hungary,female,25-34,31.0,642913.0,0.004821803261094425,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,33.72,66.28
2013,Hungary,female,35-54,155.0,1416711.0,0.010940834086839166,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,33.72,66.28
2013,Hungary,female,35-54,155.0,1416711.0,0.010940834086839166,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,33.72,66.28
2013,Hungary,female,05-14,1.0,471456.0,0.0002121088712414308,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,33.72,66.28
2013,Hungary,female,05-14,1.0,471456.0,0.0002121088712414308,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,33.72,66.28
2013,Hungary,female,55-74,200.0,1349472.0,0.014820611320575753,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,33.72,66.28
2013,Hungary,female,55-74,200.0,1349472.0,0.014820611320575753,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,33.72,66.28
2013,Hungary,female,75+,106.0,503084.0,0.021070039993321195,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,33.72,66.28
2013,Hungary,female,75+,106.0,503084.0,0.021070039993321195,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,33.72,66.28
2013,Hungary,male,15-24,60.0,608253.0,0.009864316328896035,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,33.72,66.28
2013,Hungary,male,15-24,60.0,608253.0,0.009864316328896035,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,33.72,66.28
2013,Hungary,male,25-34,107.0,664876.0,0.016093226406126857,75,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0366369374096394,0.0784016624093056,33.72,66.28
2013,Hungary,male,25-34,107.0,664876.0,0.016093226406126857,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,33.72,66.28
